de,gsw
ich,i
ich,I
ich,i
ich,i
ich,i
ich,I
ich,i
ich,I
ich,ich
ich,ich
ich bin,Ibi
ich habe,ha
ihn,ihn
ihn,ihn
ihr (F),ihre
ihre (F),ihri
im,im
im,im
immer,immer
immer,immer
immer,immer
in,i
in,i
in,i
in,i
in,in
in,in
in,in
in dem Fall,demfall
in dem Fall,imfall
in den (pl.),ide
in der,ide
in der,ide
in der,ide
in der,ide
in einer,inere
Infos,infos
interessierte (pl.),interessierti
Internet,Internet
intolerant,intolerant
irgendetwas,irgendöppis
irgendjemandem,irgendöpperem
irgendwas,irgendwas
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),ISCH
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ist (er/sie/es),isch
ja,ja
ja,ja
ja,ja
ja,jo
ja,jo
ja,jo
ja,jo
ja,jo
ja,jo
jedoch,jedoch
Jesus,Jesus
jetzt,etz
kalt,chalt
kann (er/sie/es),cha
kann (er/sie/es),chan
kannst (du),chasch
kannst (du),chasch
kannst (du),chasch
kannst es (du),chaschs
Kanton,Kanton
Käse,chäs
kein (N),kei
keine (F),kei
keine (F),kei
keinen (M),kein
Kind,chind
klares,klars
Klarstellung,klarstellig
Klasse,Klasse
klein,chli
kleine (F),Chli
Knopf,chnopf
Kohle,kohle
Kommentar,kommentar
können (sie),Chönd
können wir,chamä
können wir,chamer
können wir,chömer
könnte (er/sie/es),chönnt
Konzert,konzert
Koordinaten,Koordinate
korrupte (pl.),korrupti
Kühe,Chue
labern,labere
lacht (er/sie/es),lacht
lacht (er/sie/es),Lacht
Laktose,laktose
Land,land
lang,lang
lang,lang
Lautstärke,lutstärki
Lebel,Lebe
lebensmüde,lebesmüed
legen,lege
leid,leid
leiten,leite
lesen,lese
Leuten,lüt
Level,Level
liest (du),lisisch
Link,Link
lösen,löse
löst (er/sie/es),LÖST
lustig,lustig
Luxus,luxus
mache (ich),mach
macht (er/sie/es),macht
mal,mal
mal,mol
mal,mol
mal,mol
mal,mol
Mal,mol
mal,mol
man,mer
man,mer
man,mer
mehr,meh
mein (N),mis
meine (F),mini
meine (ich),mein
meinem,mim
meinst (du),meinsch
meint (er/sie/es),meint
meint (er/sie/es),meint
Meinung,meinig
Meinungen,Meinige
Meinungen,meinige
meistens,meistens
meistens,meistens
merke (ich),merke
mich,MI
mich,mich
mindestens,mindestens
mir,mer
mir,mir
mir,mir
mit,Mit
mit,mit
mit,mit
mit,mit
mit,mit
mit,mit
mittlerweile,Mitlerwile
möglich,möglich
Monat,monet
Monaten,monet
Morgen,morge
muss (er/sie/es),mue
musst (du),muesch
musst (du),muesch
müsste ich,müessti
Mut,muet
Nachbar,Nochbur
nächsten,nögste
Nacht,nacht
Nazi,Nazi
negativ,negativ
nehmen,ne
nehmen,neh
nervig,nervig
nett,nett
nicht,ned
nicht,ned
nicht,nid
nicht,nid
nicht,nid
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht,nöd
nicht mal,nödamol
nicht mehr,nüm
nie,nie
niemand,niemerd
niemand,Niemert
nirgends,nirgends
noch,no
noch,no
noch,no
noch,no
nur,Nume
nur,nur
nur,nur
offline,offline
oft,oft
ohne,ohni
ohne,ohni
okay,ok
okay,ok
okay,okay
Opfer,Opfer
Panels,panels
passieren,passiere
Pech,pech
Pech,pech
Pendler,pendler
penetranten (F),penetrante
Person,person
Pilzen,pilz
plane ich,plani
Plätze,plätz
plötzlich,plötzli
Polster,polster
posten,poste
