de,gsw
vor allem,Vorallem
vor allem,vorallem
vor allem,vorallem
vor einem,Voreme
Wälder,Wälder
wäre (er/sie/es),wär
was,Was
was,wo
was,wo
was ich,wasi
was ich,wasi
was ich,wasi
was ich,woni
was ich,woni
was ich,woni
was ich,woni
weil,Wel
weiter,witer
wenn ich,wenni
wenn ich,wenni
wenn ich,wenni
widersetzt (er/sie/es),wedersetzt
will (ich),wet
will (ich),wet
will (ich),wett
will (ich),wett
wirklich,werklech
wirklich,werklech
wirklich,werklech
wo,Wo
Wochen,Woche
wollen,welle
Zeit,Ziit
Zeit,Ziit
Zeit,Ziit
Zeit,Ziit
zu,zu
zu,zu
zu bewegen,z’bewege
zu erfüllen,z’erfölle
zu suchen,z’sueche
zuhören (sie),losed
zwar,zwar
Mann,Maa
Bursche,Boorscht
Bursche,Poorscht
Junge,Bueb
Junge,Büebli
Junge,Büebu
Frau,Frau
Frau,Frou
Fräulein,Fröili
Fräulein,Frölein
Mädchen,Meitschi
Mädchen,Meitali
Mädchen,Meitli
Luzerner,Lozärner
Luzernerin,Lozärneri
Engel,Ängu
grummlige Person (niedlich),Brommlibär
grummlige Person (niedlich),Brommli
Katze,Büsi
Katze,Busle
herziges Mädchen,Chrogali
Liebchen,Gschpusi
Liebling,Häärzchäfer
Schätzchen,Müüsli
Schätzchen,Schätzali
deiner (M),diine
deine (F),dini
du,du
bist (du),bésch
grossartig,böimig
grossartiger (M),böimige
Typ,Kärli
sympathisch,gmögig
sympathisch,gäbig
das,das
ist (er/sie/es),ésch
eine (F),e
sympatische (F),gmögigi
er,er
ist (er/sie/es),ésch
ein (M),e
sympatischer (M),gäbige
flott,tschènt
süsser Typ,Schnügu
süsser Typ,Schnüsu
Aufreisser,Schtächer
hübsche Person,Schoss
hübsche Person,Schnétz
tanzfreudige Person,Tanzfödle
du,du
bist (du),bésch
sehr,cheibe
schön,schön
gut aussehen,Gattig mache
begieriger Mensch,Glöschteler
du,du
bist (du),bésch
doch,doch
ein (M),e
dummer Schnorrer,Blòòschti
Dummschwätzer,Gaaggi
laute Person,Läärmi
Angeber,Plagööri
Trottel,Lappi
Trottel,Latschi
Trottel,Lööli
Nichtsnutz,Laaueri
Sex mit Frauen-Geniesser,Meitschischmöcker
Sex mit Männern-Geniesser,Buebeschmöcker
Idiot,Tobu
dumme Frau,Zwätschge
einfältige Frau,domms Beeri
Mädchen,Gomsle
hässlich,wüescht
Ohrfeige geben,e Watsch ad Ohre geh
flirten,karichäschperle
flirten,karisiere
es funkt,es chnöschperlet
befingern,aatööple
begehrlich schauen,guene
lieblich schauen,lüegele
mit Nachbar*in Kontakt suchen,nööchberle
näher,nööcher
ein kleines bisschen,es bérebétzali
sich zaghaft annähern,merkehocke
locken,zöiggle
in der nacht den Schatz besuchen,fëischterle
liebkosen,Schätzele
abküssen,abschmötzele
abküssen,abschmötzle
Kuss,Schmotz
küssen,schmötzele
auf die (F),ofd
Wange,Bagge
Wange (Liebkosung),Liebali
Schmeichelei,Schmuus
schmusen,schmuse
es ist,S'ésch
zu Ende,z'Änd
Knutschfleck,Blööijele
langandauernde Liebschaft,Gschlëipf
ich,Ech
habe (ich),ha
dich,di
lieb,gäärn
ich,Ech
liebe (ich),liebe
dich,dech
du,Du
gefällst (du),gfausch
mir,mer
Liebe,Liebi
zusammenpassen,zämepasse
Hahnenfuss (Blume),Ankeblüemli
Alpenrose (Blume),Auperoose
Ehrenpreis (Blume),Chatzenöigli
Pfingstrose (Blume),Chéleroose
Maiglöckchen (Blume),Meijeriisli
Löwenzahn (Blume),Söiblueme
Tulpe (Blume),Toupe
Tulpe (Blume),Tolpe
Veilchen (Blume),Veijali
einen Partner finden,Onder d'Huube cho
heiraten,Hüroote
Schlafzimmer,S'Juhee
1,eis
1,eis
1,Eis
1,eis
1,eis
10,Zä
10,zäh
10,zäh
10,zäh
10,zäh
100,hondert
100,hondert
100,Hondert
100,hondert
100,hundert
1000,tuusig
1000,tuusig
1000,Tuusig
1000,tuusig
1000,tuusig
10000,Zäätusig
10000,zähtuusig
10000,zähtuusig
10000,zähtuusig
10000,zähtuusig
100000,Honderttusig
100000,honderttuusig
100000,honderttuusig
100000,honderttuusig
100000,hunderttuusig
1000000,e million
1000000,eimilion
1000000,en million
1000000,en million
1000000,Million
1000000000,e milliarde
1000000000,eimiliard
1000000000,en miliarde
1000000000,en milliard
1000000000,Milliarde
11,elf
11,elf
11,elf
11,elf
11,Öuf
12,zwölf
12,zwölf
12,zwölf
12,zwölf
12,Zwöuf
13,driizäh
13,Drizä
13,drizäh
13,drizäh
13,drizäh
14,Vierzä
14,vierzäh
14,vierzäh
14,vierzäh
14,vierzäh
15,Föfzä
15,föfzäh
15,föfzäh
15,föfzäh
15,füfzäh
16,sächszäh
16,Sächzä
16,sächzäh
16,sächzäh
16,sechzäh
17,Sebezä
17,sebezäh
17,sebzäh
17,sebzäh
17,siebzäh
18,achtzäh
18,achtzäh
18,achtzäh
18,Achzä
18,achzäh
19,Nünzä
19,nünzäh
19,nünzäh
19,nünzäh
19,nüünzäh
2,zwei
2,zwoi
2,zwöi
2,zwöi
2,Zwöi
20,zwänzg
20,zwänzg
20,Zwänzg
20,zwänzg
20,zwänzg
3,drü
3,drü
